dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,31,MIX_L0.03,40,39,1,0,0,429,17814.314944723897,0.00286366930231452,25.43077112837591,0.1210385411977768,0.10899776220321655
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,32,FULL_000,40,40,0,0,0,708,17803.496351323105,0.002861930290237069,25.433409390183385,0.11989793926477432,0.1104629635810852
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,32,MIX_L0,40,23,0,17,0,755,17805.314591134083,0.0028622227255254984,25.432965875504586,0.1199682205915451,0.11052888631820679
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,33,FULL_000,40,40,0,0,0,872,16697.95660045513,0.002684213686734438,25.711829109628276,0.11320361495018005,0.10492885112762451
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,33,MIX_L0,40,21,0,19,0,891,16714.254687760957,0.0026868334971368313,25.70759223354556,0.1135430634021759,0.10525202751159668
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,33,MIX_L0.01,40,32,8,0,0,903,16700.60508465473,0.002684639533981681,25.711140324232936,0.11342640221118927,0.10524237155914307
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,33,MIX_L0.03,40,38,2,0,0,911,16686.137156004334,0.0026823135558515787,25.71490429852276,0.11322212219238281,0.10492777824401855
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,34,FULL_000,40,40,0,0,0,512,16565.86165717058,0.0026629792992025614,25.74632208699901,0.11459259688854218,0.10546261072158813
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,34,MIX_L0,40,18,0,22,0,565,16565.86165717058,0.0026629792992025614,25.74632208699901,0.11459259688854218,0.10546261072158813
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,35,FULL_000,40,40,0,0,0,185,17231.72027264237,0.002770016435533762,25.575176029234036,0.11447754502296448,0.10613143444061279
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,35,MIX_L0,40,14,0,26,0,234,17229.589385697705,0.002769674174487591,25.57571311412836,0.11448449641466141,0.10611981153488159
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,36,FULL_000,40,40,0,0,0,820,17628.147553876057,0.002833742881193757,25.47639561857511,0.11404365301132202,0.10744386911392212
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,36,MIX_L0,40,24,0,16,0,869,17624.899551443,0.0028332206420600414,25.477195883887585,0.11417931318283081,0.10741567611694336
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,36,MIX_L0.01,40,39,1,0,0,859,17624.899551443,0.0028332206420600414,25.477195883887585,0.11417931318283081,0.10741567611694336
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,37,FULL_000,40,40,0,0,0,329,17400.456880185142,0.0027971414383500814,25.532855872977727,0.11137589812278748,0.10582637786865234
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,37,MIX_L0,40,12,0,28,0,366,17409.58075886636,0.0027986078057438135,25.530579259377575,0.11140867322683334,0.10610544681549072
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,37,MIX_L0.01,40,37,3,0,0,369,17396.192517893025,0.002796455752104521,25.533920336972745,0.11137981712818146,0.10582375526428223
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,38,FULL_000,40,40,0,0,0,510,17091.003423294052,0.0027473964728415012,25.610786777454884,0.11091290414333344,0.10558980703353882
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,38,MIX_L0,40,16,0,24,0,563,17091.003423294052,0.0027473964728415012,25.610786777454884,0.11091290414333344,0.10558980703353882
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,39,FULL_000,40,40,0,0,0,208,17591.674627102155,0.0028278797399252653,25.485390551268278,0.1140342503786087,0.10315430164337158
